,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
14,zack snyder,henry cavill,christopher meloni,harry lennix,action adventure fantasy sci-fi,man of steel,henry cavill christopher meloni harry lennix zack snyder action adventure fantasy sci-fi
15,andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action adventure family fantasy,the chronicles of narnia: prince caspian,peter dinklage pierfrancesco favino damián alcázar andrew adamson action adventure family fantasy
16,rob marshall,johnny depp,sam claflin,stephen graham,action adventure fantasy,pirates of the caribbean: on stranger tides,johnny depp sam claflin stephen graham rob marshall action adventure fantasy
17,barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action adventure comedy family fantasy sci-fi,men in black 3,will smith michael stuhlbarg nicole scherzinger barry sonnenfeld action adventure comedy family fantasy sci-fi
18,peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the battle of the five armies,aidan turner adam brown james nesbitt peter jackson adventure fantasy
19,marc webb,emma stone,andrew garfield,chris zylka,action adventure fantasy,the amazing spider-man,emma stone andrew garfield chris zylka marc webb action adventure fantasy
20,ridley scott,mark addy,william hurt,scott grimes,action adventure drama history,robin hood,mark addy william hurt scott grimes ridley scott action adventure drama history
21,peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the desolation of smaug,aidan turner adam brown james nesbitt peter jackson adventure fantasy
22,chris weitz,christopher lee,eva green,kristin scott thomas,adventure family fantasy,the golden compass,christopher lee eva green kristin scott thomas chris weitz adventure family fantasy
23,james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama romance,titanic,leonardo dicaprio kate winslet gloria stuart james cameron drama romance
24,anthony russo,robert downey jr.,scarlett johansson,chris evans,action adventure sci-fi,captain america: civil war,robert downey jr. scarlett johansson chris evans anthony russo action adventure sci-fi
25,peter berg,liam neeson,alexander skarsgård,tadanobu asano,action adventure sci-fi thriller,battleship,liam neeson alexander skarsgård tadanobu asano peter berg action adventure sci-fi thriller
26,colin trevorrow,bryce dallas howard,judy greer,omar sy,action adventure sci-fi thriller,jurassic world,bryce dallas howard judy greer omar sy colin trevorrow action adventure sci-fi thriller
27,sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man 2,j.k. simmons james franco kirsten dunst sam raimi action adventure fantasy romance
28,shane black,robert downey jr.,jon favreau,don cheadle,action adventure sci-fi,iron man 3,robert downey jr. jon favreau don cheadle shane black action adventure sci-fi
29,brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action adventure fantasy sci-fi thriller,x-men: the last stand,hugh jackman kelsey grammer daniel cudmore brett ratner action adventure fantasy sci-fi thriller
30,dan scanlon,steve buscemi,tyler labine,sean hayes,adventure animation comedy family fantasy,monsters university,steve buscemi tyler labine sean hayes dan scanlon adventure animation comedy family fantasy
31,michael bay,glenn morshower,kevin dunn,ramon rodriguez,action adventure sci-fi,transformers: revenge of the fallen,glenn morshower kevin dunn ramon rodriguez michael bay action adventure sci-fi
32,michael bay,bingbing li,sophia myles,kelsey grammer,action adventure sci-fi,transformers: age of extinction,bingbing li sophia myles kelsey grammer michael bay action adventure sci-fi
33,marc webb,emma stone,andrew garfield,b.j. novak,action adventure fantasy sci-fi,the amazing spider-man 2,emma stone andrew garfield b.j. novak marc webb action adventure fantasy sci-fi
34,john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure animation comedy family sport,cars 2,joe mantegna thomas kretschmann eddie izzard john lasseter adventure animation comedy family sport
35,martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,green lantern,ryan reynolds temuera morrison taika waititi martin campbell action adventure sci-fi
36,lee unkrich,tom hanks,john ratzenberger,don rickles,adventure animation comedy family fantasy,toy story 3,tom hanks john ratzenberger don rickles lee unkrich adventure animation comedy family fantasy
37,mcg,christian bale,bryce dallas howard,common,action adventure sci-fi,terminator salvation,christian bale bryce dallas howard common mcg action adventure sci-fi
38,james wan,jason statham,paul walker,vin diesel,action crime thriller,furious 7,jason statham paul walker vin diesel james wan action crime thriller
39,marc forster,peter capaldi,brad pitt,mireille enos,action adventure horror sci-fi thriller,world war z,peter capaldi brad pitt mireille enos marc forster action adventure horror sci-fi thriller
40,bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action adventure fantasy sci-fi thriller,x-men: days of future past,jennifer lawrence peter dinklage hugh jackman bryan singer action adventure fantasy sci-fi thriller
41,j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action adventure sci-fi,star trek into darkness,benedict cumberbatch bruce greenwood noel clarke j.j. abrams action adventure sci-fi
42,bryan singer,eddie marsan,ewen bremner,ralph brown,adventure fantasy,jack the giant slayer,eddie marsan ewen bremner ralph brown bryan singer adventure fantasy
43,mike newell,jake gyllenhaal,richard coyle,reece ritchie,action adventure fantasy romance,prince of persia: the sands of time,jake gyllenhaal richard coyle reece ritchie mike newell action adventure fantasy romance
44,guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action adventure sci-fi,pacific rim,charlie hunnam clifton collins jr. larry joe campbell guillermo del toro action adventure sci-fi
45,michael bay,glenn morshower,lester speight,kevin dunn,action adventure sci-fi,transformers: dark of the moon,glenn morshower lester speight kevin dunn michael bay action adventure sci-fi
46,steven spielberg,harrison ford,ray winstone,jim broadbent,action adventure fantasy,indiana jones and the kingdom of the crystal skull,harrison ford ray winstone jim broadbent steven spielberg action adventure fantasy
47,peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure animation comedy family fantasy,the good dinosaur,a.j. buckley jack mcgraw peter sohn peter sohn adventure animation comedy family fantasy
48,mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure animation comedy family fantasy,brave,kelly macdonald john ratzenberger julie walters mark andrews adventure animation comedy family fantasy
49,justin lin,sofia boutella,melissa roxburgh,lydia wilson,action adventure sci-fi thriller,star trek beyond,sofia boutella melissa roxburgh lydia wilson justin lin action adventure sci-fi thriller
50,andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure animation family sci-fi,wall·e,john ratzenberger fred willard jeff garlin andrew stanton adventure animation family sci-fi
51,brett ratner,tzi ma,dana ivey,noémie lenoir,action comedy crime thriller,rush hour 3,tzi ma dana ivey noémie lenoir brett ratner action comedy crime thriller
52,roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012,oliver platt liam james tom mccarthy roland emmerich action adventure sci-fi
53,robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,a christmas carol,robin wright colin firth gary oldman robert zemeckis animation drama family fantasy
54,lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,jupiter ascending,channing tatum mila kunis eddie redmayne lana wachowski action adventure sci-fi
55,andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",jim broadbent kiran shah shane rangi andrew adamson adventure family fantasy
56,bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,x-men: apocalypse,jennifer lawrence michael fassbender tye sheridan bryan singer action adventure sci-fi
57,christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,the dark knight,christian bale heath ledger morgan freeman christopher nolan action crime drama thriller
58,pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,up,john ratzenberger delroy lindo jess harnell pete docter adventure animation comedy family
59,rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,monsters vs. aliens,amy poehler rainn wilson stephen colbert rob letterman action adventure animation comedy family sci-fi
60,jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,iron man,robert downey jr. jeff bridges jon favreau jon favreau action adventure sci-fi
61,martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,hugo,chloë grace moretz christopher lee ray winstone martin scorsese adventure drama family mystery
62,barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,wild wild west,will smith salma hayek bai ling barry sonnenfeld action comedy sci-fi western
63,rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,the mummy: tomb of the dragon emperor,jet li brendan fraser russell wong rob cohen action adventure fantasy horror thriller
64,david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,suicide squad,will smith robin atkin downes ike barinholtz david ayer action adventure comedy sci-fi
65,tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,evan almighty,jimmy bennett morgan freeman steve carell tom shadyac comedy family fantasy
66,doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,edge of tomorrow,tom cruise lara pulver noah taylor doug liman action adventure sci-fi
67,kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,waterworld,jeanne tripplehorn rick aviles zakes mokae kevin reynolds action adventure sci-fi thriller
68,stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,g.i. joe: the rise of cobra,joseph gordon-levitt dennis quaid leo howard stephen sommers action adventure sci-fi thriller
69,pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,inside out,amy poehler mindy kaling phyllis smith pete docter adventure animation comedy drama family fantasy
70,jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,iron man 2,robert downey jr. scarlett johansson jon favreau jon favreau action adventure sci-fi
71,rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,snow white and the huntsman,chris hemsworth kristen stewart sam claflin rupert sanders action adventure drama fantasy
72,robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,maleficent,angelina jolie pitt sharlto copley sam riley robert stromberg action adventure family fantasy romance
73,matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,dawn of the planet of the apes,gary oldman judy greer kodi smit-mcphee matt reeves action adventure drama sci-fi
74,carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 ronin,keanu reeves cary-hiroyuki tagawa jin akanishi carl rinsch action adventure drama fantasy
75,anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,captain america: the winter soldier,scarlett johansson chris evans hayley atwell anthony russo action adventure sci-fi
76,mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,shrek forever after,jon hamm kathy griffin mary kay place mike mitchell adventure animation comedy family fantasy
77,brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,tomorrowland,judy greer chris bauer thomas robinson brad bird action adventure family mystery sci-fi
78,don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,big hero 6,damon wayans jr. daniel henney abraham benrubi don hall action adventure animation comedy drama family sci-fi
79,rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,wreck-it ralph,jack mcbrayer sarah silverman joe lo truglio rich moore adventure animation comedy family sci-fi
80,robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,the polar express,tom hanks eddie deezen peter scolari robert zemeckis adventure animation family fantasy
81,roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,independence day: resurgence,vivica a. fox sela ward judd hirsch roland emmerich action adventure sci-fi
82,dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,how to train your dragon,gerard butler america ferrera craig ferguson dean deblois adventure animation family fantasy
83,jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,terminator 3: rise of the machines,nick stahl m.c. gainey carolyn hennesy jonathan mostow action sci-fi
84,james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,guardians of the galaxy,bradley cooper vin diesel djimon hounsou james gunn action adventure sci-fi
85,christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,interstellar,matthew mcconaughey anne hathaway mackenzie foy christopher nolan adventure drama sci-fi
86,christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,inception,leonardo dicaprio tom hardy joseph gordon-levitt christopher nolan action adventure sci-fi thriller
87,peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: an unexpected journey,aidan turner adam brown james nesbitt peter jackson adventure fantasy
88,david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,the curious case of benjamin button,brad pitt jason flemyng julia ormond david fincher drama fantasy romance
89,matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,x-men: first class,jennifer lawrence michael fassbender oliver platt matthew vaughn action adventure sci-fi
90,francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,the hunger games: mockingjay - part 2,jennifer lawrence philip seymour hoffman josh hutcherson francis lawrence adventure sci-fi
91,jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,the sorcerer's apprentice,nicolas cage omar benson miller robert capron jon turteltaub action adventure family fantasy
92,wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,poseidon,jimmy bennett mike vogel andre braugher wolfgang petersen action adventure drama thriller
93,james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,alice through the looking glass,johnny depp alan rickman anne hathaway james bobin adventure family fantasy
94,chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,shrek the third,justin timberlake eric idle rupert everett chris miller adventure animation comedy family fantasy
95,duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,warcraft,dominic cooper callum rennie ruth negga duncan jones action adventure fantasy
96,alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,terminator genisys,j.k. simmons emilia clarke matt smith alan taylor action adventure sci-fi
97,michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,the chronicles of narnia: the voyage of the dawn treader,bruce spence shane rangi laura brent michael apted adventure family fantasy
98,michael bay,jennifer garner,jaime king,mako,action drama history romance war,pearl harbor,jennifer garner jaime king mako michael bay action drama history romance war
99,michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,transformers,zack ward michael o'neill kevin dunn michael bay action adventure sci-fi
100,oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,alexander,anthony hopkins angelina jolie pitt brian blessed oliver stone action adventure biography drama history romance war
101,david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,harry potter and the order of the phoenix,robert pattinson daniel radcliffe fiona shaw david yates adventure family fantasy mystery
102,mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the goblet of fire,robert pattinson daniel radcliffe rupert grint mike newell adventure family fantasy mystery
103,peter berg,will smith,charlize theron,eddie marsan,action drama,hancock,will smith charlize theron eddie marsan peter berg action drama
104,francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,i am legend,will smith alice braga willow smith francis lawrence drama horror sci-fi
105,tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,charlie and the chocolate factory,johnny depp christopher lee david kelly tim burton adventure comedy family fantasy
106,brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,ratatouille,janeane garofalo john ratzenberger brian dennehy brad bird animation comedy family fantasy
107,christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,batman begins,christian bale liam neeson morgan freeman christopher nolan action adventure
108,eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,madagascar: escape 2 africa,bernie mac jada pinkett smith cedric the entertainer eric darnell action adventure animation comedy family
109,shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,night at the museum: battle of the smithsonian,robin williams rami malek steve coogan shawn levy adventure comedy family fantasy
110,gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,x-men origins: wolverine,hugh jackman ryan reynolds dominic monaghan gavin hood action adventure fantasy sci-fi thriller
111,lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,the matrix revolutions,essie davis collin chou nona gaye lana wachowski action sci-fi
112,chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,frozen,josh gad maurice lamarche livvy stubenrauch chris buck adventure animation comedy family fantasy musical
113,lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,the matrix reloaded,steve bastoni daniel bernhardt helmut bakaitis lana wachowski action sci-fi
114,alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor: the dark world,chris hemsworth natalie portman anthony hopkins alan taylor action adventure fantasy
115,george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,mad max: fury road,tom hardy charlize theron zoë kravitz george miller action adventure sci-fi thriller
116,ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,angels & demons,tom hanks ayelet zurer armin mueller-stahl ron howard mystery thriller
117,kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor,chris hemsworth natalie portman anthony hopkins kenneth branagh action adventure fantasy
118,byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,bolt,chloë grace moretz diedrich bader james lipton byron howard adventure animation comedy drama family
119,hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action adventure animation comedy family fantasy sci-fi,g-force,kelli garner piper mackenzie harris niecy nash hoyt yeatman action adventure animation comedy family fantasy sci-fi
120,jonathan liebesman,liam neeson,edgar ramírez,lily james,action adventure fantasy,wrath of the titans,liam neeson edgar ramírez lily james jonathan liebesman action adventure fantasy
121,tim burton,johnny depp,chloë grace moretz,christopher lee,comedy fantasy horror,dark shadows,johnny depp chloë grace moretz christopher lee tim burton comedy fantasy horror
122,christopher mcquarrie,tom cruise,jeremy renner,sean harris,action adventure thriller,mission: impossible - rogue nation,tom cruise jeremy renner sean harris christopher mcquarrie action adventure thriller
123,joe johnston,anthony hopkins,simon merrells,art malik,drama fantasy horror thriller,the wolfman,anthony hopkins simon merrells art malik joe johnston drama fantasy horror thriller
124,david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,the legend of tarzan,christoph waltz alexander skarsgård casper crump david yates action adventure drama romance
125,steve hickner,matthew broderick,oprah winfrey,rip torn,adventure animation comedy family,bee movie,matthew broderick oprah winfrey rip torn steve hickner adventure animation comedy family
126,jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action adventure animation comedy family,kung fu panda 2,angelina jolie pitt gary oldman mike bell jennifer yuh nelson action adventure animation comedy family
127,m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action adventure family fantasy,the last airbender,seychelle gabriel noah ringer aasif mandvi m. night shyamalan action adventure family fantasy
128,j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action adventure thriller,mission: impossible iii,philip seymour hoffman tom cruise eddie marsan j.j. abrams action adventure thriller
129,roland emmerich,channing tatum,jake weber,matt craven,action drama thriller,white house down,channing tatum jake weber matt craven roland emmerich action drama thriller
130,simon wells,elisabeth harnois,dan fogler,tom everett scott,action adventure animation comedy family sci-fi,mars needs moms,elisabeth harnois dan fogler tom everett scott simon wells action adventure animation comedy family sci-fi
131,david bowers,hugh jackman,kate winslet,david suchet,adventure animation comedy family,flushed away,hugh jackman kate winslet david suchet david bowers adventure animation comedy family
132,rob minkoff,ty burrell,zach callison,karan brar,adventure animation comedy family sci-fi,mr. peabody & sherman,ty burrell zach callison karan brar rob minkoff adventure animation comedy family sci-fi
133,wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,troy,brad pitt orlando bloom julian glover wolfgang petersen adventure
134,eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure animation comedy family,madagascar 3: europe's most wanted,jada pinkett smith martin short cedric the entertainer eric darnell adventure animation comedy family
135,lee tamahori,toby stephens,colin salmon,rick yune,action adventure thriller,die another day,toby stephens colin salmon rick yune lee tamahori action adventure thriller
136,michael bay,bruce willis,steve buscemi,will patton,action adventure sci-fi thriller,armageddon,bruce willis steve buscemi will patton michael bay action adventure sci-fi thriller
137,barry sonnenfeld,will smith,rosario dawson,rip torn,action adventure comedy family fantasy mystery sci-fi,men in black ii,will smith rosario dawson rip torn barry sonnenfeld action adventure comedy family fantasy mystery sci-fi
138,robert zemeckis,robin wright,anthony hopkins,sebastian roché,action adventure animation fantasy,beowulf,robin wright anthony hopkins sebastian roché robert zemeckis action adventure animation fantasy
139,alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action adventure animation comedy family,kung fu panda 3,j.k. simmons angelina jolie pitt wayne knight alessandro carloni action adventure animation comedy family
140,brad bird,tom cruise,jeremy renner,michael nyqvist,action adventure thriller,mission: impossible - ghost protocol,tom cruise jeremy renner michael nyqvist brad bird action adventure thriller
141,peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure animation family fantasy,rise of the guardians,hugh jackman kamil mcfadden khamani griffin peter ramsey adventure animation family fantasy
142,dean parisot,john michael higgins,richard burgi,david herman,comedy crime,fun with dick and jane,john michael higgins richard burgi david herman dean parisot comedy crime
143,edward zwick,tom cruise,tony goldwyn,chad lindberg,action drama history war,the last samurai,tom cruise tony goldwyn chad lindberg edward zwick action drama history war
144,j.j. abrams,chris hemsworth,leonard nimoy,bruce greenwood,action adventure sci-fi,star trek,chris hemsworth leonard nimoy bruce greenwood j.j. abrams action adventure sci-fi
145,sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man,j.k. simmons james franco kirsten dunst sam raimi action adventure fantasy romance
146,dean deblois,gerard butler,djimon hounsou,america ferrera,action adventure animation comedy family fantasy,how to train your dragon 2,gerard butler djimon hounsou america ferrera dean deblois action adventure animation comedy family fantasy
147,alex proyas,gerard butler,elodie yung,bryan brown,action adventure fantasy,gods of egypt,gerard butler elodie yung bryan brown alex proyas action adventure fantasy
148,rob cohen,sam shepard,joe morton,richard roxburgh,action adventure sci-fi thriller,stealth,sam shepard joe morton richard roxburgh rob cohen action adventure sci-fi thriller
149,zack snyder,matt frewer,billy crudup,stephen mchattie,action drama mystery sci-fi,watchmen,matt frewer billy crudup stephen mchattie zack snyder action drama mystery sci-fi
150,richard donner,jet li,rene russo,darlene love,action crime thriller,lethal weapon 4,jet li rene russo darlene love richard donner action crime thriller
151,ang lee,kevin rankin,regi davis,celia weston,action sci-fi,hulk,kevin rankin regi davis celia weston ang lee action sci-fi
152,jon m. chu,channing tatum,dwayne johnson,elodie yung,action adventure sci-fi thriller,g.i. joe: retaliation,channing tatum dwayne johnson elodie yung jon m. chu action adventure sci-fi thriller
153,hironobu sakaguchi,steve buscemi,ming-na wen,jean simmons,action adventure animation fantasy romance sci-fi,final fantasy: the spirits within,steve buscemi ming-na wen jean simmons hironobu sakaguchi action adventure animation fantasy romance sci-fi
154,joe johnston,chris evans,dominic cooper,hayley atwell,action adventure sci-fi,captain america: the first avenger,chris evans dominic cooper hayley atwell joe johnston action adventure sci-fi
155,michael apted,colin salmon,maria grazia cucinotta,desmond llewelyn,action adventure thriller,the world is not enough,colin salmon maria grazia cucinotta desmond llewelyn michael apted action adventure thriller
156,peter weir,james d'arcy,lee ingleby,david threlfall,action adventure drama history war,master and commander: the far side of the world,james d'arcy lee ingleby david threlfall peter weir action adventure drama history war
157,george miller,robin williams,brad pitt,common,animation comedy family musical,happy feet 2,robin williams brad pitt common george miller animation comedy family musical
158,louis leterrier,ty burrell,peter mensah,william hurt,action adventure sci-fi,the incredible hulk,ty burrell peter mensah william hurt louis leterrier action adventure sci-fi
159,unknown,don johnson,philip michael thomas,john diehl,action crime drama mystery thriller,miami vice            ,don johnson philip michael thomas john diehl unknown action crime drama mystery thriller
160,steven spielberg,mark rylance,penelope wilton,rafe spall,adventure family fantasy,the bfg,mark rylance penelope wilton rafe spall steven spielberg adventure family fantasy
161,alejandro g. iñárritu,leonardo dicaprio,tom hardy,lukas haas,adventure drama thriller western,the revenant,leonardo dicaprio tom hardy lukas haas alejandro g. iñárritu adventure drama thriller western
162,david soren,ryan reynolds,snoop dogg,ben schwartz,adventure animation comedy family sport,turbo,ryan reynolds snoop dogg ben schwartz david soren adventure animation comedy family sport
163,gore verbinski,johnny depp,ray winstone,stephen root,adventure animation comedy family western,rango,johnny depp ray winstone stephen root gore verbinski adventure animation comedy family western
164,eric darnell,benedict cumberbatch,annet mahendru,andy richter,adventure animation comedy family,penguins of madagascar,benedict cumberbatch annet mahendru andy richter eric darnell adventure animation comedy family
165,paul greengrass,matt damon,edgar ramírez,albert finney,action mystery thriller,the bourne ultimatum,matt damon edgar ramírez albert finney paul greengrass action mystery thriller
166,mark osborne,angelina jolie pitt,wayne knight,dan fogler,action adventure animation comedy family,kung fu panda,angelina jolie pitt wayne knight dan fogler mark osborne action adventure animation comedy family
167,peyton reed,judy greer,hayley atwell,t.i.,action adventure comedy sci-fi,ant-man,judy greer hayley atwell t.i. peyton reed action adventure comedy sci-fi
168,francis lawrence,jennifer lawrence,josh hutcherson,sandra ellis lafferty,adventure sci-fi thriller,the hunger games: catching fire,jennifer lawrence josh hutcherson sandra ellis lafferty francis lawrence adventure sci-fi thriller
169,bill condon,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,the twilight saga: breaking dawn - part 2,robert pattinson kristen stewart taylor lautner bill condon adventure drama fantasy romance
170,steven spielberg,tom cruise,lisa ann walter,rick gonzalez,adventure sci-fi thriller,war of the worlds,tom cruise lisa ann walter rick gonzalez steven spielberg adventure sci-fi thriller
171,michael bay,will smith,henry rollins,jordi mollà,action comedy crime thriller,bad boys ii,will smith henry rollins jordi mollà michael bay action comedy crime thriller
